email,frequency
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4503,0
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1481,0
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\2419,0
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\338,0
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\2549,0
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1407,0
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4062,0
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\63,0
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1139,0
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\366,0
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\2024,0
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1155,0
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4516,0
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\2456,0
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1932,0
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1082,0
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\2280,0
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\4308,0
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1645,0
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\967,0
C:\Users\Seth/midterm/data/enron/maildir/kaminski-v/sent\1335,0
